,Current Market Cap,Last Price,Alpha,Beta,Revenue Growth Year over Year,ROA,ROE,Profit Margin,Asset Turnover,Financial Leverage,EBIT/Interest,Price Earnings Ratio (P/E),Price to Sales Ratio,Short and Long Term Debt,Total Equity,Operating Return on Total Invested Capital,Weighted Average Cost of Cap,Free Cash Flow,Price to Book Ratio,Industry Group,WACC Economic Value Added,Total Compensation Paid to Executives
WBA UW Equity,37263187237,43.14,-0.189607278,0.963723421,8.629961798,5.462025102,20.97429977,1.918360262,1.480901728,3.823660258,3.84640884,7.455399702,0.274415047,34402,24140,8.036799834,6.386093168,4176,1.395572702,Retail,-777.5688241,71932627
WBD UW Equity,42469777088,17.5,#N/A N/A,#N/A N/A,14.24421329,3.81054224,11.27642205,8.251989172,0.372508306,3.105380048,3.0906298,7.526952943,0.731977045,15643,13396,7.087577841,7.284210466,2425,0.74421422,Media,-894.4174481,290413710
WDC UW Equity,18815122505,60.08,0.122343302,0.972107589,1.111376673,7.594960215,17.69768051,4.851672379,0.75076309,2.554952644,3.742331288,9.770238701,0.972061407,8962,10721,13.02739437,7.42662788,752,1.569178953,Computers,609.0549031,50046624
WEC UN Equity,32861969440,104.18,0.078368239,0.484127641,14.83491445,3.616781434,12.58299069,15.65055315,0.222858344,3.555018262,3.538064782,23.78162549,3.850876287,15622.9,11113.3,6.897651306,5.227374143,-220.1,2.922830647,Electric,338.966809,38126833
WELL UN Equity,39949164112,88,0.245364726,0.740684807,2.955904808,0.591963415,1.202827029,7.088356145,0.148565807,2.005252417,1.395267132,190.0155467,7.491830484,14676.898,18997.873,2.295881818,6.625499629,-3509.4,2.232251594,REITS,-2043.411089,25139883
WFC UN Equity,1.69884E+11,44.82,0.154828191,1.115538836,0.218906199,0.97833328,11.75706546,27.45247923,0.041643372,11.83703881,#N/A N/A,9.47878117,2.199926809,199574,190110,6.6284029,6.628368531,-11525,1.072246109,Banks,-8800.126051,60759158
WHR UN Equity,9893863806,176.04,0.063724644,1.00950706,12.99856086,7.792477087,35.27741275,8.110075051,1.082084118,4.663956019,13.41714286,6.98953108,0.497485473,6207,5013,19.73962791,7.188718782,1651,2.193285162,Home Furnishings,1146.904201,40920268
WM UN Equity,66060229922,159.12,0.189141348,0.791898251,17.82757261,7.32899861,29.31850937,10.12771178,0.634081902,4.009467618,7.843915344,31.32636715,3.604602848,13928,7126,14.82140282,7.287062875,2434,9.247409551,Environmental Control,809.862937,27606895
WMB UN Equity,45687615154,37.51,0.502521396,0.659950554,37.67327374,3.335633166,13.27261635,14.27496001,0.230837468,3.969250065,2.21092437,30.15777423,4.32719793,23839,14101,6.870033325,5.575056323,2706,4.046597638,Pipelines,425.3399359,29906684
WMT UN Equity,3.43521E+11,125.32,-0.1300935,0.869779944,2.432795435,7.153199661,22.24435841,2.387237802,2.386515662,3.029370561,15.49701314,20.27077624,0.604059589,57323,91891,16.1347177,8.043904021,11075,4.48630149,Retail,3820.413943,85981687
WRB UN Equity,18725306821,70.61,0.340842217,0.886995494,16.7496427,3.335911663,15.58594673,10.81374519,0.329259871,4.67905384,#N/A N/A,19.0078651,1.915892211,3530.602,6667.73,6.311414314,7.826499223,2117.353,2.727614241,Insurance,1376.43769,36015058
WRK UN Equity,12556556463,49.27,0.260827988,1.02542007,6.640385009,3.674001117,9.445044918,4.471863481,0.695839457,2.602316498,3.058486512,12.35661808,0.646993548,8918.6,11691.7,5.663692143,6.908020048,1464.4,1.10340903,Packaging&Containers,-431.2103283,46303771
WST UN Equity,22954552196,309.88,0.225494191,1.000538945,31.89249616,22.95157762,33.33148826,23.37194519,0.954825666,1.457695888,73.75490196,34.03070636,7.98667903,325.3,2335.4,31.9462005,9.819793298,330.6,9.871080888,Healthcare-Products,385.6389568,17461452
WTW UW Equity,23036814825,206.63,-0.182406083,0.981907666,4.445734185,3.631684725,11.5209677,46.92153812,0.255341178,3.05236711,10.43601896,19.94894015,2.837066512,5490,13308,13.06622727,8.372318893,1913,2.106767364,Insurance,547.6962351,38731957
WY UN Equity,28544053320,38.34,0.31022051,1.050446749,35.43547531,16.5409238,28.73631485,25.55631801,0.63589291,1.741870961,11.63897764,10.24358578,2.657724838,5221,10767,26.53632204,9.052600566,2569,2.791857614,REITS,1889.398637,28829323
WYNN UW Equity,7564393689,65.23,-0.61564976,1.345107675,79.57603104,-4.544144901,#N/A N/A,-20.08112308,0.314935706,#N/A N/A,-0.651528663,#N/A N/A,1.875352703,12076.655,-836.215,-2.706170541,8.017502861,-513.248,#N/A N/A,Lodging,-1218.551471,26801526
XEL UW Equity,40783637906,74.88,0.071774893,0.554174125,16.52785008,2.821059251,10.61382755,11.8904028,0.238279067,3.703846026,2.538018433,25.04347734,2.970443994,24736,15612,5.436577371,5.604822318,-2069,2.591817875,Electric,171.6560731,31309050
XOM UN Equity,4.17421E+11,99.09,0.556800067,0.71043098,54.94528879,8.375681332,17.67993403,8.326948376,0.89137466,2.062073454,12.97208264,14.71238851,1.379801014,52898,175683,11.82005937,6.807485618,36053,2.467075345,Oil&Gas,5322.063301,79958073
XRAY UW Equity,8723633502,40.49,-0.333630472,0.89849627,27.19928187,4.465437967,8.309175072,9.903552105,0.457889271,1.854530922,11.30909091,21.68182271,2.107364626,2095,5043,7.631095695,7.650672883,515,1.778156471,Healthcare-Products,-678.1280205,18791474
XYL UN Equity,15394325022,85.48,-0.048896093,1.008188009,6.542247744,5.24774176,14.33955059,8.219441771,0.621689334,2.752344003,7.697368421,35.31258259,2.95553244,2752,3226,9.35293629,8.679293354,330,4.813930145,Machinery-Diversified,32.50459494,21105140
YUM UN Equity,33826131024,118.62,0.021854542,0.870783508,16.48973815,24.17520089,#N/A N/A,23.92162819,1.16927679,#N/A N/A,3.931985294,25.82262602,5.247519227,12127,-8373,57.31010074,7.665180903,1476,#N/A N/A,Retail,1687.955731,60802333
ZBH UN Equity,25281315369,120.63,-0.269117624,0.936677337,11.55527084,4.401006921,8.212424112,5.124933003,0.335289775,1.926143336,3.74328215,25.23425249,3.291389613,7358.3,12666.4,3.686047413,8.143341123,1025.4,2.104285916,Healthcare-Products,-1018.837998,31924487
ZBRA UW Equity,17580053865,334.77,-0.120099247,1.385791183,26.50629496,14.26768705,30.96654288,14.87471121,0.989948007,2.260140406,195.8,21.86895669,3.125659924,1145,2984,24.50339955,12.00866596,1010,6.080791917,Office/Business Equip,270.1410536,26636383
ZION UW Equity,8557823612,56.54,0.187292889,1.133064389,0.951733515,1.098152025,14.63928598,38.78392305,0.033316879,12.17795222,#N/A N/A,9.253191961,3.02007111,2177,7463,13.26795292,9.379653652,423,1.461772473,Banks,-43.20107995,12578402
ZTS UN Equity,79540948982,169.01,-0.002662869,0.90597266,16.49438202,16.15435805,51.07636059,26.19598765,0.570653746,3.309552454,11.5,35.97579302,10.14184466,6784,4544,23.7262293,8.7014749,1736,17.09725144,Pharmaceuticals,1192.846628,35376073
,,,,,,,,,,,,,,,,,,,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security,#N/A Invalid Security
